id,imdb_id,title,original_title,runtime,release_date,original_language,Western,Romance,War,Crime,TV Movie,Western,Foreign,History,Thriller,Action,Horror,Fantasy,Animation,Adventure,Mystery,Drama,Family,Music,Comedy,avg_cast_gender,directing_avg_gender,production_avg_gender,writing_avg_gender
11359,tt0113419,The Indian in the Cupboard,The Indian in the Cupboard,96.0,1995,en,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1.7777777777777777,2.0,1.3333333333333333,1.0
17182,tt0116260,Eye for an Eye,Eye for an Eye,101.0,1996,en,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.4705882352941178,1.5,1.6666666666666667,1.5
2054,tt0113862,Mr. Holland's Opus,Mr. Holland's Opus,137.0,1995,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1.5333333333333334,2.0,1.8888888888888888,2.0
10607,tt0116126,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,89.0,1996,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5833333333333333,2.0,2.0,2.0
19760,tt0118002,Two If by Sea,Two If by Sea,96.0,1996,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.6,2.0,,2.0
9536,tt0115683,Bio-Dome,Bio-Dome,88.0,1996,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5,2.0,2.0,
11525,tt0116839,Lawnmower Man 2: Beyond Cyberspace,Lawnmower Man 2: Beyond Cyberspace,92.0,1996,en,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.6666666666666667,2.0,2.0,2.0
40628,tt0114753,Two Bits,Two Bits,85.0,1995,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1.75,2.0,,2.0
4482,tt0113149,French Twist,Gazon maudit,95.0,1995,fr,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5,1.0,2.0,1.0
10634,tt0113118,Friday,Friday,91.0,1995,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.6470588235294117,2.0,,2.0
755,tt0116367,From Dusk Till Dawn,From Dusk Till Dawn,108.0,1996,en,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1.736842105263158,2.0,1.7272727272727273,2.0
11859,tt0113010,Fair Game,Fair Game,91.0,1995,en,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.7647058823529411,2.0,1.5,
28387,tt0113537,Kicking and Screaming,Kicking and Screaming,96.0,1995,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.6470588235294117,2.0,,2.0
48750,tt0113828,Les Miserables,Les misérables,175.0,1995,fr,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.6666666666666667,2.0,,2.0
20927,tt0115644,Bed of Roses,Bed of Roses,87.0,1996,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.5263157894736843,2.0,1.5,2.0
36929,tt0115676,Big Bully,Big Bully,90.0,1996,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1.7142857142857142,2.0,,2.0
9102,tt0114367,Screamers,Screamers,108.0,1995,en,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.7142857142857142,2.0,1.4,2.0
124626,tt0113973,Nico Icon,Nico Icon,70.0,1995,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,,,
27526,tt0112744,The Crossing Guard,The Crossing Guard,111.0,1995,en,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.5714285714285714,2.0,2.0,2.0
9623,tt0116731,The Juror,The Juror,118.0,1996,en,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.7692307692307692,2.0,2.0,2.0
400,tt0114660,Things to Do in Denver When You're Dead,Things to Do in Denver When You're Dead,116.0,1995,en,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.7142857142857142,2.0,1.5,2.0
880,tt0112379,Antonia's Line,Antonia,102.0,1995,nl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.25,,2.0,
146599,tt0114039,Once Upon a Time... When We Were Colored,Once Upon a Time... When We Were Colored,115.0,1996,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.5,2.0,,
188588,tt0113612,Last Summer in the Hamptons,Last Summer in the Hamptons,108.0,1995,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5333333333333334,2.0,,
8447,tt0112365,Angels and Insects,Angels and Insects,118.0,1995,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.4285714285714286,,1.0,
10534,tt0118158,White Squall,White Squall,129.0,1996,en,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.9333333333333333,2.0,2.0,2.0
17414,tt0116151,Dunston Checks In,Dunston Checks In,88.0,1996,en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1.6666666666666667,,,2.0
13997,tt0115697,Black Sheep,Black Sheep,87.0,1996,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9230769230769231,,,2.0
2086,tt0113972,Nick of Time,Nick of Time,90.0,1995,en,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.6666666666666667,2.0,1.5,2.0
61548,tt0113490,The Journey of August King,The Journey of August King,91.0,1995,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.8,2.0,1.8,
9095,tt0117002,Mary Reilly,Mary Reilly,104.0,1996,en,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1.6666666666666667,,1.3333333333333333,2.0
12158,tt0114825,Vampire in Brooklyn,Vampire in Brooklyn,100.0,1995,en,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1.75,2.0,1.6666666666666667,2.0
9283,tt0115639,Beautiful Girls,Beautiful Girls,112.0,1996,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.5555555555555556,1.5,1.6666666666666667,2.0
9208,tt0115759,Broken Arrow,Broken Arrow,108.0,1996,en,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1.9285714285714286,2.0,2.0,2.0
40154,tt0113403,A Midwinter's Tale,A Midwinter's Tale,99.0,1995,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.6666666666666667,2.0,,2.0
406,tt0113247,La Haine,La Haine,98.0,1995,fr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.9166666666666667,2.0,2.0,2.0
45549,tt0111173,Shopping,Shopping,105.0,1994,en,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1.7333333333333334,2.0,,2.0
63076,tt0113283,Heidi Fleiss: Hollywood Madam,Heidi Fleiss: Hollywood Madam,106.0,1995,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6666666666666667,2.0,2.0,
11062,tt0115907,City Hall,City Hall,111.0,1996,en,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.8571428571428572,2.0,2.0,2.0
13685,tt0115734,Bottle Rocket,Bottle Rocket,91.0,1996,en,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.8333333333333333,2.0,1.625,2.0
47475,tt0117102,Mr. Wrong,Mr. Wrong,96.0,1996,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.375,2.0,,
2045,tt0118040,Unforgettable,Unforgettable,106.0,1996,en,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1.625,2.0,1.5,
9614,tt0116483,Happy Gilmore,Happy Gilmore,92.0,1996,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9090909090909092,2.0,2.0,2.0
688,tt0112579,The Bridges of Madison County,The Bridges of Madison County,135.0,1995,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.4285714285714286,2.0,1.5,2.0
11907,tt0110251,Nobody Loves Me,Keiner liebt mich,104.0,1994,de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1.5,1.0,,1.0
10874,tt0117110,Muppet Treasure Island,Muppet Treasure Island,100.0,1996,en,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1.8571428571428572,2.0,2.0,2.0
96357,tt0113276,Headless Body in Topless Bar,Headless Body in Topless Bar,110.0,1995,en,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.875,,2.0,
197,tt0112573,Braveheart,Braveheart,177.0,1995,en,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1.9666666666666666,2.0,1.8571428571428572,2.0
103,tt0075314,Taxi Driver,Taxi Driver,114.0,1976,en,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.7272727272727273,1.6666666666666667,1.25,
33542,tt0113326,Rumble in the Bronx,紅番區,91.0,1995,cn,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1.75,2.0,,
43566,tt0115645,Before and After,Before and After,108.0,1996,en,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.6923076923076923,2.0,,2.0
71754,tt0113774,Margaret's Museum,Margaret's Museum,114.0,1995,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.4,2.0,1.75,2.0
43612,tt0112556,Happiness Is in the Field,Le Bonheur est dans le pré,106.0,1995,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.8,2.0,2.0,1.0
16934,tt0115033,The Young Poisoner's Handbook,The Young Poisoner's Handbook,99.0,1995,en,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.7692307692307692,,1.0,
10324,tt0116606,If Lucy Fell,If Lucy Fell,92.0,1996,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5,2.0,,2.0
78406,tt0114536,Steal Big Steal Little,Steal Big Steal Little,113.0,1995,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.6666666666666667,2.0,,2.0
55731,tt0117427,Race the Sun,Race the Sun,100.0,1996,en,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1.7,2.0,,2.0
32119,tt0106473,The Boys of St. Vincent,The Boys of St. Vincent,90.0,1992,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,2.0,,
11066,tt0103859,Boomerang,Boomerang,117.0,1992,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5,2.0,2.0,2.0
11104,tt0109424,Chungking Express,重慶森林,102.0,1994,cn,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.4,2.0,,2.0
2074,tt0116324,Flirting with Disaster,Flirting with Disaster,92.0,1996,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5,1.5,1.5,2.0
27793,tt0110647,The Neverending Story III: Escape from Fantasia,The NeverEnding Story III,95.0,1994,en,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.6153846153846154,2.0,2.0,2.0
110972,tt0114131,Pie in the Sky,Pie in the Sky,95.0,1996,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.625,1.5,2.0,2.0
32622,tt0112364,Angela,Angela,99.0,1995,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.3333333333333333,1.0,1.5,1.0
73067,tt0113107,Frankie Starlight,Frankie Starlight,101.0,1995,it,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.8333333333333333,2.0,,
11863,tt0113451,Jade,Jade,95.0,1995,en,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1.7894736842105263,,2.0,
55475,tt0114015,Nueba Yol,Nueba Yol,102.0,1995,es,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2.0,2.0,,2.0
9101,tt0116130,Down Periscope,Down Periscope,92.0,1996,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.8717948717948718,1.5,1.4285714285714286,2.0
123360,tt0113125,From the Journals of Jean Seberg,From the Journals of Jean Seberg,97.0,1995,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,,1.0,
5757,tt0113756,Man of the Year,Man of the Year,86.0,1995,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5,2.0,2.0,2.0
39428,tt0113952,The Neon Bible,The Neon Bible,91.0,1995,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.4545454545454546,2.0,,2.0
9302,tt0118055,Up Close & Personal,Up Close & Personal,119.0,1996,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.6363636363636365,2.0,2.0,
11000,tt0115685,The Birdcage,The Birdcage,117.0,1996,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.7,2.0,2.0,1.0
249882,tt0113200,Virgin Mary,Gospa,125.0,1995,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.8,,,2.0
16388,tt0112585,The Brothers McMullen,The Brothers McMullen,98.0,1995,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.3333333333333333,2.0,2.0,2.0
9737,tt0112442,Bad Boys,Bad Boys,118.0,1995,en,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1.6666666666666667,2.0,1.8,2.0
30765,tt0112342,The Amazing Panda Adventure,The Amazing Panda Adventure,81.0,1995,en,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1.75,2.0,,2.0
10474,tt0112461,The Basketball Diaries,The Basketball Diaries,102.0,1995,en,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.7777777777777777,1.5,1.5,
22279,tt0112427,An Awfully Big Adventure,An Awfully Big Adventure,113.0,1995,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.625,2.0,1.3333333333333333,
30157,tt0109093,Amateur,Amateur,105.0,1994,en,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1.5,2.0,1.75,2.0
568,tt0112384,Apollo 13,Apollo 13,140.0,1995,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.76,1.6666666666666667,1.5,2.0
11780,tt0114287,Rob Roy,Rob Roy,139.0,1995,en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.6666666666666667,2.0,2.0,2.0
34996,tt0112288,The Addiction,The Addiction,82.0,1995,en,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.5,2.0,,2.0
414,tt0112462,Batman Forever,Batman Forever,121.0,1995,en,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1.7333333333333334,2.0,1.6666666666666667,2.0
649,tt0061395,Belle de Jour,Belle de jour,101.0,1967,fr,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.6923076923076923,2.0,2.0,2.0
1873,tt0112495,Beyond Rangoon,Beyond Rangoon,100.0,1995,en,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.5,2.0,1.6666666666666667,2.0
5894,tt0112541,Blue in the Face,Blue in the Face,83.0,1995,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.6842105263157894,2.0,1.8333333333333333,2.0
1775,tt0109370,Canadian Bacon,Canadian Bacon,91.0,1995,en,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1.9333333333333333,2.0,,2.0
8839,tt0112642,Casper,Casper,100.0,1995,en,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1.7916666666666667,1.0,1.8,1.0
20649,tt0112688,Clockers,Clockers,128.0,1995,en,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.9310344827586208,2.0,,2.0
10329,tt0112715,Congo,Congo,109.0,1995,en,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1.7777777777777777,2.0,1.6666666666666667,2.0
8963,tt0112740,Crimson Tide,Crimson Tide,116.0,1995,en,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2.0,2.0,1.8333333333333333,2.0
