year,title,imdb_id,id,rating,runtime,release_date,original_language,Western,Romance,War,Crime,TV Movie,Foreign,History,Thriller,Action,Horror,Fantasy,Animation,Adventure,Mystery,Drama,Family,Music,Comedy,avg_cast_gender,directing_avg_gender,production_avg_gender,writing_avg_gender,original_title
1939,Jesse James,0031507,1383,2,106,1939,en,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.84,2.0,2.0,2.0,Jesse James
1939,"Story of Alexander Graham Bell, The",0031981,1385,2,98,1939,en,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.75,2.0,2.0,2.0,The Story of Alexander Graham Bell
1939,At the Circus,0031060,2372,2,87,1939,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.84,2.0,2.0,2.0,At the Circus
1939,"Rules of the Game, The",0031885,3089,3,110,1939,fr,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.6666666666666667,2.0,2.0,2.0,La Règle du jeu
1939,Babes in Arms,0031066,3723,3,93,1939,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1.6842105263157894,2.0,2.0,1.0,Babes in Arms
1939,Destry Rides Again,0031225,5634,3,94,1939,en,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1.7222222222222223,2.0,2.0,1.75,Destry Rides Again
1939,Nancy Drew... Reporter,0031709,5763,3,68,1939,en,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.878787878787879,2.0,2.0,2.0,Nancy Drew... Reporter
1939,"Adventures of Sherlock Holmes, The",0031022,5863,3,85,1939,en,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.818181818181818,2.0,2.0,2.0,The Adventures of Sherlock Holmes
1939,Jamaica Inn,0031505,7322,3,108,1939,en,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.8,2.0,2.0,1.5,Jamaica Inn
1939,Love Affair,0031593,9038,3,88,1939,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.588235294117647,2.0,2.0,1.75,Love Affair
1940,Pinocchio,0032910,478,1,88,1940,en,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1.8,2.0,2.0,2.0,Pinocchio
1940,Rebecca,0032976,618,3,130,1940,en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.7777777777777777,2.0,2.0,1.5,Rebecca
1940,"Thief of Bagdad, The",0033152,1265,0,106,1940,en,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1.8235294117647056,2.0,2.0,2.0,The Thief of Bagdad
1940,"Mortal Storm, The",0032811,1501,3,100,1940,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.8214285714285712,2.0,2.0,2.0,The Mortal Storm
1940,Comrade X,0032349,1355,2,90,1940,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.8888888888888888,2.0,2.0,2.0,Comrade X
1940,Boom Town,0032273,1356,1,119,1940,en,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.8148148148148149,2.0,2.0,2.0,Boom Town
1940,Strange Cargo,0033105,1357,0,113,1940,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.9166666666666667,2.0,2.0,1.6666666666666667,Strange Cargo
1940,"Return of Frank James, The",0032983,1366,0,92,1940,en,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.9375,2.0,2.0,2.0,The Return of Frank James
1940,"All This, and Heaven Too",0032194,1373,2,141,1940,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.5142857142857142,1.6666666666666667,2.0,2.0,"All This, and Heaven Too"
1940,"Letter, The",0032701,1380,2,95,1940,en,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.8421052631578947,2.0,2.0,2.0,The Letter
1940,"Great Dictator, The",0032553,3470,3,125,1940,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9142857142857144,2.0,2.0,2.0,The Great Dictator
1940,"Dance, Girl, Dance",0032376,4415,3,90,1940,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.75,1.0,2.0,2.0,"Dance, Girl, Dance"
1940,"Shop Around the Corner, The",0033045,7861,3,99,1940,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5294117647058822,2.0,2.0,2.0,The Shop Around the Corner
1941,"Shanghai Gesture, The",0034175,1512,3,99,1941,en,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1.6923076923076923,2.0,2.0,2.0,The Shanghai Gesture
1941,"Maltese Falcon, The",0033870,1230,1,100,1941,en,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.8571428571428572,2.0,2.0,2.0,The Maltese Falcon
1941,Citizen Kane,0033467,1266,1,119,1941,en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.7924528301886793,2.0,2.0,2.0,Citizen Kane
1941,"Little Foxes, The",0033836,1372,2,115,1941,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.7058823529411764,2.0,2.0,1.3333333333333333,The Little Foxes
1941,"Lady Eve, The",0033804,1386,2,97,1941,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.75,2.0,2.0,2.0,The Lady Eve
1941,High Sierra,0033717,2410,1,100,1941,en,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1.6470588235294117,2.0,2.0,2.0,High Sierra
1941,"Wolf Man, The",0034398,2436,2,70,1941,en,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.6666666666666667,2.0,2.0,2.0,The Wolf Man
1941,Suspicion,0034248,7329,3,99,1941,en,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.6,2.0,2.0,1.5,Suspicion
1941,Sun valley serenade,0034241,8625,0,86,1941,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.6153846153846154,2.0,2.0,2.0,Sun Valley Serenade
1941,"Reluctant Dragon, The",0034091,9025,3,74,1941,en,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1.8333333333333333,2.0,2.0,2.0,The Reluctant Dragon
1941,Ball of Fire,0033373,10347,2,111,1941,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9285714285714288,2.0,2.0,2.0,Ball of Fire
1942,"Now, Voyager",0035140,689,3,117,1942,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.5238095238095235,2.0,2.0,2.0,"Now, Voyager"
1942,"Magnificent Ambersons, The",0035015,1289,2,88,1942,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.5714285714285714,2.0,2.0,2.0,The Magnificent Ambersons
1942,For Me and My Gal,0034746,1675,3,104,1942,en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.6,2.0,2.0,2.0,For Me and My Gal
